,month,monthly_avg
0,1,18.73129032258063
1,2,24.394999999999985
2,3,37.618225806451605
3,4,44.616749999999975
4,5,61.22798387096768
5,6,68.24124999999998
6,7,73.02209677419353
7,8,72.10274193548379
8,9,61.6719999999999
9,10,51.71895161290322
10,11,33.676500000000004
11,12,26.04862903225806
